agency_code,loan_type,property_type,loan_purpose,owner_occupancy,loan_amount_000s,action_taken,msamd,applicant_ethnicity,applicant_race,applicant_sex,applicant_income_000s,hoepa_status,lien_status,population,minority_population,hud_median_family_income,tract_to_msamd_income,number_of_owner_occupied_units,number_of_1_to_4_family_units
9,1,1,1,1,86,3,42540,2,5,2,31,2,1,2097,1.1399999856948853,59500,125.29000091552734,665,905
5,1,1,3,1,71,3,37964,2,3,2,85,2,1,6076,32.74000168,57400,91.26000213623047,1510,2723
9,2,1,3,1,50,3,37964,2,3,2,31,2,1,3405,77.5,57400,122.86000061035156,979,1235
7,1,1,3,2,150,3,37964,2,5,2,65,2,1,3436,97.93000030517578,57400,63.060001373291016,600,1789
9,1,1,3,1,140,3,37964,2,5,2,60,2,1,6076,32.74000168,57400,91.26000213623047,1510,2723
7,3,1,3,1,167,3,10900,2,5,1,25,2,1,6150,6.210000038146973,75200,118.70999908447266,2000,2469
7,1,1,1,1,128,3,37964,2,2,2,120,2,1,3129,90.16000366210938,57400,62.15999984741211,631,1528
9,2,1,3,1,55,3,20700,2,5,1,0,2,1,4719,28.290000915527344,74900,104.12999725341797,1356,2331
5,1,1,3,1,15,3,37964,2,5,2,78,2,2,6076,32.74000168,57400,91.26000213623047,1510,2723
7,2,1,3,1,61,3,37964,2,3,1,22,2,1,2559,81.48000336,57400,98.66999816894531,549,966
9,1,1,3,1,111,3,29540,2,5,1,77,2,1,5179,12.010000228881836,71100,105.08000183105469,1093,1635
7,2,1,1,1,169,3,37964,2,3,1,58,2,1,3092,64.94000244140625,57400,64.26000213623047,195,791
7,1,1,3,1,350,3,37964,2,5,1,1,2,1,6076,32.74000168,57400,91.26000213623047,1510,2723
5,1,1,3,2,25,3,37964,2,3,2,36,2,2,1652,83.77999877929688,57400,52.16999816894531,161,540
9,1,1,3,1,170,3,42540,2,5,2,44,2,1,1996,1.7000000476837158,59500,122.19999694824219,653,797
7,2,1,1,1,147,2,29540,2,5,2,52,2,1,6423,20.239999771118164,71100,111.04000091552734,1541,1791
7,1,1,3,1,37,3,37964,2,3,2,40,2,1,1682,97.5,57400,77.72000122070312,207,528
7,2,1,3,1,336,3,37964,2,5,1,31,2,1,4007,7.360000133514404,57400,129.3699951171875,1277,1558
7,2,1,1,1,344,2,37964,2,5,1,75,2,1,1682,97.5,57400,77.72000122070312,207,528
7,2,1,3,1,62,3,37964,2,3,2,22,2,1,6186,92.19000244140625,57400,67.51999664,1228,2635
2,1,1,1,2,75,3,37964,2,5,1,79,2,1,6186,92.19000244140625,57400,67.51999664,1228,2635
1,1,1,1,1,226,2,29540,2,5,1,82,2,1,7401,12.319999694824219,71100,131.30999755859375,1948,2346
9,1,1,1,1,234,3,20700,2,3,2,78,2,1,5083,48.13999938964844,74900,81.31999969482422,1381,3023
7,2,1,3,1,128,3,48700,2,5,1,48,2,1,2177,4.869999885559082,60500,99.79000091552734,732,1006
5,1,1,3,1,240,3,33874,2,5,1,110,2,1,8580,40.06999969482422,102600,105.61000061035156,2509,2576
5,1,1,1,1,109,3,37964,2,2,2,16,2,1,6916,82.48999786376953,57400,48.77000045776367,893,2462
5,1,1,3,1,127,3,37964,2,3,2,70,2,1,4193,91.80000305175781,57400,59.689998626708984,845,2300
7,2,1,3,1,44,2,37964,2,3,2,12,2,1,5152,53.400001525878906,57400,67.08000183105469,907,2107
9,2,1,1,1,336,3,37964,2,5,1,62,2,1,5152,53.400001525878906,57400,67.08000183105469,907,2107
9,1,1,3,1,80,3,37964,2,3,1,59,2,1,3122,81.38999938964844,57400,77.16999816894531,636,1377
9,1,1,1,1,140,3,20700,2,5,1,9,2,1,4686,31.920000076293945,74900,77.33999633789062,1119,1789
9,1,1,1,1,1000,3,37964,2,5,1,41,2,1,3800,28.62999916,57400,195.10000610351562,734,1295
7,3,1,3,1,322,3,20700,2,3,1,120,2,1,1997,9.260000228881836,74900,100.0199966430664,696,899
3,1,1,3,1,178,3,37964,2,5,1,79,2,1,3800,28.62999916,57400,195.10000610351562,734,1295
9,1,1,3,1,319,3,37964,2,2,2,0,2,1,3800,28.62999916,57400,195.10000610351562,734,1295
7,2,1,1,1,170,3,37964,2,5,2,34,2,1,3800,28.62999916,57400,195.10000610351562,734,1295
9,1,1,3,1,369,3,37964,2,3,1,120,2,1,3800,28.62999916,57400,195.10000610351562,734,1295
7,1,1,3,1,260,3,37964,2,5,2,121,2,1,6711,12.859999656677246,57400,92.76000213623047,1702,3063
7,1,1,3,1,424,3,37964,2,5,1,527,2,1,3800,28.62999916,57400,195.10000610351562,734,1295
9,1,1,3,1,195,3,25420,2,2,1,96,2,1,5888,7.96999979,74700,103.26000213623047,1585,2339
7,2,1,3,1,173,3,37964,2,3,2,12,2,1,2153,85.59999847,57400,55.52000045776367,185,585
5,1,1,3,1,15,3,37964,2,3,1,44,2,2,2153,85.59999847,57400,55.52000045776367,185,585
7,1,1,1,2,390,3,37964,2,2,1,175,2,1,2940,76.45999908447266,57400,54.130001068115234,238,1023
9,1,1,3,1,246,3,37964,2,5,1,0,2,1,4533,33.02000045776367,57400,180.72000122070312,1084,1958
9,1,1,3,1,127,3,37964,2,5,1,42,2,1,3242,90.19000244140625,57400,33.45000076293945,149,713
9,1,1,3,2,591,3,37964,2,5,2,410,2,1,4533,33.02000045776367,57400,180.72000122070312,1084,1958
7,2,1,3,1,157,3,37964,2,5,1,0,2,1,6711,12.859999656677246,57400,92.76000213623047,1702,3063
5,1,1,3,2,123,3,37964,2,5,1,47,2,1,3242,90.19000244140625,57400,33.45000076293945,149,713
7,1,1,3,2,151,3,37964,2,5,1,60,2,1,4533,33.02000045776367,57400,180.72000122070312,1084,1958
1,1,1,3,1,218,3,37964,2,3,1,75,2,1,3242,90.19000244140625,57400,33.45000076293945,149,713
5,1,1,3,1,50,3,37964,2,5,1,55,2,2,5803,34.029998779296875,57400,120.1500015258789,1499,2463
7,3,1,3,1,125,3,42540,2,5,1,80,2,1,4170,1.2000000476837158,59500,129.82000732421875,1290,2058
7,1,1,3,1,140,3,37964,2,5,2,45,2,1,5803,34.029998779296875,57400,120.1500015258789,1499,2463
7,1,1,1,1,115,3,37964,2,5,1,272,2,1,4863,76.77999877929688,57400,57.689998626708984,968,2482
9,1,1,3,1,172,3,37964,2,3,1,40,2,1,4863,76.77999877929688,57400,57.689998626708984,968,2482
9,1,1,1,1,376,3,37964,2,2,2,111,2,1,5937,7.119999885559082,57400,138.35000610351562,1693,2547
7,1,1,3,2,266,3,37964,2,2,1,53,2,1,4372,68.94000244140625,57400,93.77999877929688,683,1599
1,4,1,1,1,158,3,29540,2,5,1,44,2,1,3986,8.079999923706055,71100,91.44000244140625,1011,1442
7,2,1,3,1,126,3,37964,1,3,2,58,2,1,4863,76.77999877929688,57400,57.689998626708984,968,2482
7,1,1,3,1,212,3,37964,2,5,2,39,2,1,4022,45.400001525878906,57400,106.45999908447266,894,1784
5,1,1,3,1,51,3,37964,2,3,2,85,2,1,4863,76.77999877929688,57400,57.689998626708984,968,2482
7,2,1,3,1,95,3,29540,2,3,2,20,2,1,3073,41.689998626708984,71100,93.73000336,684,934
7,2,1,3,1,148,3,33874,2,5,2,69,2,1,3154,21.87999916,102600,67.25,638,837
9,1,1,3,1,208,3,37964,2,5,2,63,2,1,3826,28.489999771118164,57400,195.49000549316406,1044,1600
7,1,1,3,2,265,2,37964,2,5,2,593,2,1,4135,48.970001220703125,57400,38.880001068115234,222,1375
7,1,1,1,2,220,2,37964,2,5,2,165,2,1,5163,44.20000076293945,57400,119.16000366210938,1046,2347
7,1,1,1,1,216,3,42540,2,5,1,196,2,1,1539,5.199999809265137,59500,159.6699981689453,568,661
3,1,1,3,2,258,2,49620,2,5,2,185,2,1,5457,5.199999809265137,70800,86.62999725341797,1601,2276
7,2,1,1,1,31,3,37964,2,3,1,39,2,1,5824,97.36000061035156,57400,29.170000076293945,523,2231
7,2,1,1,1,79,3,37964,2,3,2,28,2,1,3324,99.27999877929688,57400,36.040000915527344,531,1888
5,1,1,3,2,42,3,37964,2,3,1,71,2,1,3324,99.27999877929688,57400,36.040000915527344,531,1888
7,1,1,1,2,272,2,37964,2,5,1,118,2,1,3658,49.400001525878906,57400,129.77999877929688,749,1475
7,3,1,3,1,42,3,37964,2,3,1,39,2,1,2092,97.47000122070312,57400,61.650001525878906,277,1106
9,1,1,3,1,49,3,37964,2,3,2,37,2,1,2092,97.47000122070312,57400,61.650001525878906,277,1106
7,2,1,3,1,194,3,37964,2,5,2,70,2,1,2827,40.790000915527344,57400,143.3300018310547,734,1436
7,3,1,3,1,160,3,49620,2,5,1,38,2,1,5662,3.25,70800,85.36000061035156,1677,2441
7,2,1,1,1,113,3,37964,2,3,2,35,2,1,2092,97.47000122070312,57400,61.650001525878906,277,1106
5,1,1,3,1,10,3,37964,2,3,2,10,2,1,3436,97.93000030517578,57400,63.060001373291016,600,1789
7,1,1,3,1,153,3,10900,2,5,1,38,2,1,4831,16.829999923706055,75200,118.4800033569336,1553,1882
9,1,1,1,1,226,3,37964,2,5,1,112,2,1,3206,32.810001373291016,57400,163.02000427246094,727,1362
9,1,1,3,2,277,3,37964,2,5,1,259,2,1,2017,11.800000190734863,57400,308.19000244140625,516,1106
9,3,1,1,1,215,3,37964,2,5,1,88,2,1,2763,28.190000534057617,57400,260.45001220703125,530,1035
9,1,1,3,2,104,3,37964,2,3,1,0,2,1,2272,10.56000042,57400,218.1199951171875,873,580
7,1,1,1,2,300,2,37964,2,2,2,90,2,1,3092,64.94000244140625,57400,64.26000213623047,195,791
9,1,1,1,1,218,3,37964,2,5,1,54,2,1,2861,38.59000015258789,57400,228.22999572753906,733,1278
9,1,1,3,1,35,3,37964,2,3,2,25,2,1,3092,64.94000244140625,57400,64.26000213623047,195,791
7,1,1,3,1,205,3,37964,2,5,2,110,2,1,3546,60.54999923706055,57400,71.12000274658203,249,834
7,1,1,3,1,120,3,37964,2,3,2,18,2,1,3870,64.95999908447266,57400,67.27999877929688,458,686
7,2,1,1,1,167,3,20700,2,3,2,62,2,1,5083,48.13999938964844,74900,81.31999969482422,1381,3023
9,1,1,1,1,46,3,35084,2,5,1,45,2,1,4961,36.95000076293945,99800,73.73999786376953,1353,2808
9,1,1,3,2,104,3,37964,2,5,1,59,2,1,4482,33.400001525878906,57400,254.6699981689453,793,1798
7,2,1,1,1,162,3,10900,1,5,1,44,2,1,4501,54.25,75200,62.369998931884766,730,1347
7,2,1,3,1,167,2,29540,2,5,2,92,2,1,7350,4.260000228881836,71100,116.4800033569336,2080,2426
7,1,1,3,1,52,3,35084,2,5,2,18,2,1,5520,10.220000267028809,99800,100.44000244140625,1675,2397
7,1,1,3,1,200,3,37964,2,3,2,51,2,1,3546,60.54999923706055,57400,71.12000274658203,249,834
7,1,1,3,1,76,3,37964,2,3,1,60,2,1,1682,97.5,57400,77.72000122070312,207,528
1,1,1,1,1,208,3,49620,2,5,1,35,2,1,8686,7.820000171661377,70800,119.7300033569336,2578,3104
7,1,1,1,1,6,3,37964,2,3,2,73,2,2,1682,97.5,57400,77.72000122070312,207,528
7,1,1,3,1,75,3,37964,2,3,2,0,2,1,3405,77.5,57400,122.86000061035156,979,1235
5,1,1,1,1,576,2,37964,2,2,1,147,2,1,5890,40.849998474121094,57400,193.52000427246094,1400,2346
9,1,1,1,1,254,3,37964,2,5,1,56,2,1,3540,59.209999084472656,57400,54.709999084472656,543,1181
3,1,1,1,1,80,3,38300,2,5,2,27,2,1,2644,15.199999809265137,72200,97.34999847,730,1127
9,1,1,3,1,162,3,37964,2,3,1,50,2,1,2968,79.08000183105469,57400,61.65999984741211,439,630
9,1,1,3,1,354,3,37964,2,5,1,303,2,1,5249,20.62999916,57400,304.7399902,863,1650
9,1,1,3,1,460,3,37964,2,5,1,228,2,1,5249,20.62999916,57400,304.7399902,863,1650
7,3,1,3,1,393,3,37964,2,3,1,43,2,1,1883,61.290000915527344,57400,115.83000183105469,281,445
7,1,1,1,2,178,3,37964,2,5,1,125,2,1,3540,59.209999084472656,57400,54.709999084472656,543,1181
7,2,1,1,1,294,3,37964,2,3,1,121,2,1,1883,61.290000915527344,57400,115.83000183105469,281,445
5,1,1,3,1,352,3,37964,2,2,2,145,2,1,1883,61.290000915527344,57400,115.83000183105469,281,445
3,1,1,1,2,340,3,49620,2,5,1,0,2,1,5457,5.199999809265137,70800,86.62999725341797,1601,2276
7,2,1,3,1,358,3,37964,2,3,1,80,2,1,1883,61.290000915527344,57400,115.83000183105469,281,445
9,1,1,3,1,109,3,20700,2,5,1,42,2,1,6904,34.689998626708984,74900,108.27999877929688,2097,3141
7,1,1,1,1,402,2,37964,2,5,2,85,2,1,1454,16.709999084472656,57400,172.13999938964844,483,791
9,1,1,1,1,65,3,10900,1,5,1,22,2,1,8738,68.05000305175781,75200,56.18000030517578,1201,2230
9,1,1,1,1,290,3,29540,2,5,1,57,2,1,6911,3.259999990463257,71100,88.44000244140625,2428,2876
9,1,1,1,1,175,3,37964,2,5,2,31,2,1,3800,28.62999916,57400,195.10000610351562,734,1295
5,1,1,1,1,300,3,37964,2,3,2,91,2,1,4260,98.94000244140625,57400,71.5,1017,1844
3,1,1,3,1,538,3,37964,2,5,1,32,2,1,3800,28.62999916,57400,195.10000610351562,734,1295
7,1,1,3,2,319,3,37964,2,3,1,95,2,1,3800,28.62999916,57400,195.10000610351562,734,1295
9,1,1,1,1,244,3,37964,2,5,2,74,2,1,3541,15.789999961853027,57400,261.2200012207031,1059,1054
9,1,1,3,1,362,3,37964,1,5,2,137,2,1,3800,28.62999916,57400,195.10000610351562,734,1295
9,2,1,3,1,158,3,37964,2,3,2,0,2,1,4260,98.94000244140625,57400,71.5,1017,1844
7,1,1,1,1,264,3,37964,2,5,2,108,2,1,2626,16.299999237060547,57400,316.4599914550781,875,498
7,1,1,3,1,320,3,49620,2,5,2,50,2,1,8064,4.820000171661377,70800,130.94000244140625,2306,2721
7,1,1,3,1,408,3,37964,2,5,2,175,2,1,2626,16.299999237060547,57400,316.4599914550781,875,498
7,2,1,3,1,142,3,37964,2,3,2,0,2,1,5909,98.90000153,57400,83.44000244140625,1430,2383
9,2,1,3,1,190,3,38300,2,5,2,51,2,1,6698,4.480000019073486,72200,148.47999572753906,2125,2375
9,1,1,3,1,40,3,37964,2,3,1,68,2,1,5909,98.90000153,57400,83.44000244140625,1430,2383
7,3,1,3,1,102,3,37964,2,3,1,26,2,1,2153,85.59999847,57400,55.52000045776367,185,585
2,3,1,3,1,175,3,37964,2,3,1,53,2,1,5909,98.90000153,57400,83.44000244140625,1430,2383
3,1,1,3,2,100,3,37964,2,5,2,67,2,1,2639,29.030000686645508,57400,443.1700134277344,174,381
7,2,1,1,1,154,2,37964,2,3,2,43,2,1,5909,98.90000153,57400,83.44000244140625,1430,2383
9,1,1,3,1,226,3,38300,2,3,1,62,2,1,6131,10.779999732971191,72200,107.20999908447266,2083,2662
7,1,1,1,1,256,3,37964,2,2,2,150,2,1,3746,32.56999969482422,57400,244.99000549316406,596,256
9,1,1,3,1,64,3,37964,2,3,2,25,2,1,5909,98.90000153,57400,83.44000244140625,1430,2383
7,1,1,1,1,211,3,37964,2,3,2,65,2,1,2940,76.45999908447266,57400,54.130001068115234,238,1023
7,2,1,1,1,315,3,37964,2,5,1,21,2,1,1692,24.81999969482422,57400,307.3699951171875,233,350
9,1,1,3,1,228,3,37964,2,5,2,55,2,1,1692,24.81999969482422,57400,307.3699951171875,233,350
7,2,1,1,1,186,3,37964,2,3,1,95,2,1,5909,98.90000153,57400,83.44000244140625,1430,2383
7,1,1,3,1,110,3,37964,1,3,1,46,2,1,5909,98.90000153,57400,83.44000244140625,1430,2383
5,1,1,3,1,15,3,37964,2,3,1,54,2,2,3242,90.19000244140625,57400,33.45000076293945,149,713
7,2,1,3,1,246,2,49620,2,5,1,125,2,1,3071,1.0099999904632568,70800,102.23999786376953,950,1140
5,1,1,3,1,65,3,37964,2,3,1,48,2,1,2271,88.98999786376953,57400,78.66000366210938,325,1108
9,1,1,3,1,218,3,49620,2,5,1,35,2,1,3849,1.5099999904632568,70800,112.0199966430664,1404,1578
5,1,1,1,1,370,3,37964,2,5,1,159,2,1,3049,16.559999465942383,57400,182.80999755859375,1515,67
9,1,1,3,1,130,3,37964,2,3,1,84,2,1,4686,92.95999908447266,57400,94.13999938964844,1277,1749
7,1,1,1,1,1000,3,37964,2,5,1,269,2,1,3049,16.559999465942383,57400,182.80999755859375,1515,67
9,1,1,3,1,475,3,38300,2,5,1,586,2,1,6113,6.940000057220459,72200,198.5500030517578,1738,1888
5,1,1,3,1,100,3,37964,2,3,2,63,2,1,2271,88.98999786376953,57400,78.66000366210938,325,1108
9,1,1,1,2,163,3,37964,2,2,2,75,2,1,2331,61.09000015258789,57400,91.48000336,379,311
9,1,1,3,1,229,3,33874,2,5,1,27,2,1,4014,21.600000381469727,102600,84.83000183105469,1018,1478
7,2,1,3,1,216,3,37964,2,5,2,39,2,1,2271,88.98999786376953,57400,78.66000366210938,325,1108
1,1,1,3,2,841,3,37964,2,5,2,341,2,1,3608,26.549999237060547,57400,192.64999389648438,637,578
9,1,1,1,1,380,3,37964,2,3,1,120,2,1,3608,26.549999237060547,57400,192.64999389648438,637,578
9,1,1,1,1,238,3,37964,2,2,1,66,2,1,2271,88.98999786376953,57400,78.66000366210938,325,1108
7,2,1,1,1,43,3,37964,2,3,1,6,2,1,3608,26.549999237060547,57400,192.64999389648438,637,578
9,1,1,1,1,188,3,37964,2,5,1,0,2,1,4863,76.77999877929688,57400,57.689998626708984,968,2482
9,1,1,3,1,79,3,37964,2,3,2,35,2,1,4686,92.95999908447266,57400,94.13999938964844,1277,1749
9,1,1,3,1,143,3,20700,2,5,1,130,2,1,6239,41.54999923706055,74900,94.88999938964844,1582,2631
7,2,1,3,1,122,3,38300,2,3,1,0,2,1,8945,8.300000190734863,72200,132.55999755859375,3084,3814
7,1,1,3,2,388,3,37964,2,5,1,52,2,1,3608,26.549999237060547,57400,192.64999389648438,637,578
3,4,1,1,1,243,3,49620,2,5,1,74,2,1,8686,7.820000171661377,70800,119.7300033569336,2578,3104
7,1,1,1,1,347,3,37964,1,5,2,110,2,1,4863,76.77999877929688,57400,57.689998626708984,968,2482
3,1,1,3,1,190,2,49660,2,5,1,66,2,1,5960,10.890000343322754,55800,122.79000091552734,1724,2280
7,3,1,3,1,139,3,42540,2,5,1,52,2,1,4170,1.2000000476837158,59500,129.82000732421875,1290,2058
9,1,1,3,1,137,3,25420,2,5,1,63,2,1,4767,3.799999952316284,74700,101.02999877929688,1605,1861
5,1,1,3,1,323,3,37964,2,5,2,174,2,1,3826,28.489999771118164,57400,195.49000549316406,1044,1600
7,3,1,3,1,220,3,37964,2,5,2,47,2,1,7325,98.83000183105469,57400,89.69999694824219,1713,2565
7,2,1,1,1,83,3,25420,2,5,2,25,2,1,4786,2.9000000953674316,74700,84.84999847,1385,1948
7,2,1,1,1,74,3,37964,2,3,1,20,2,1,7325,98.83000183105469,57400,89.69999694824219,1713,2565
7,2,1,3,1,227,3,10900,2,5,2,80,2,1,4625,3.5199999809265137,75200,107.27999877929688,1560,1771
7,3,1,3,1,141,3,25420,2,5,1,14,2,1,4794,5.46999979,74700,82.30999755859375,1329,1999
9,2,1,1,1,79,3,38300,2,5,1,74,2,1,2024,5.579999923706055,72200,83.55999755859375,655,1026
7,1,1,3,1,95,3,37964,2,3,2,68,2,1,2912,100,57400,57.959999084472656,627,1376
9,1,1,3,1,31,3,42540,2,5,1,38,2,1,4182,7.010000228881836,59500,139.6300048828125,1374,1639
5,1,1,3,1,150,3,37964,2,3,2,29,2,1,3658,49.400001525878906,57400,129.77999877929688,749,1475
9,1,1,3,1,105,3,42540,2,5,1,57,2,1,1781,5.949999809265137,59500,81.81999969482422,386,706
5,1,1,3,1,15,3,37964,2,3,2,50,2,2,4715,99.44999694824219,57400,74.11000061035156,1318,2392
9,1,1,3,1,317,3,37964,2,2,2,80,2,2,2763,28.190000534057617,57400,260.45001220703125,530,1035
7,1,1,1,1,225,3,37964,2,3,1,65,2,1,3546,60.54999923706055,57400,71.12000274658203,249,834
5,1,1,3,1,15,3,37964,2,3,2,37,2,1,3264,94.48999786376953,57400,54.25,577,1727
7,1,1,1,1,104,3,10900,2,2,2,66,2,1,4051,14.489999771118164,75200,160.50999450683594,1393,1466
1,1,1,1,1,98,2,42540,2,5,1,42,2,1,3598,3.5899999141693115,59500,88.59999847,1353,2178
5,1,1,3,1,20,3,37964,2,3,1,42,2,1,3545,93.56999969482422,57400,46.630001068115234,392,1658
2,1,1,1,2,200,2,48700,2,5,1,119,2,2,1677,2.1500000953674316,60500,98.16000366210938,564,753
9,1,1,3,1,136,3,37964,2,3,1,108,2,1,3405,77.5,57400,122.86000061035156,979,1235
9,1,1,3,1,270,3,10900,2,5,1,100,2,1,6386,9.130000114440918,75200,147.9499969482422,2111,2439
9,1,1,1,1,608,3,10900,2,5,1,239,2,1,6386,9.130000114440918,75200,147.9499969482422,2111,2439
7,2,1,1,1,61,3,20700,2,5,1,39,2,1,4658,29.219999313354492,74900,98.36000061035156,1475,2651
7,1,1,3,1,60,3,37964,2,3,2,55,2,1,3298,98,57400,50.869998931884766,383,1633
7,1,1,3,2,99,3,10900,2,2,1,147,2,1,6386,9.130000114440918,75200,147.9499969482422,2111,2439
7,1,1,3,1,128,3,10900,2,4,1,52,2,1,6386,9.130000114440918,75200,147.9499969482422,2111,2439
7,2,1,1,1,82,3,37964,2,3,2,62,2,1,3298,98,57400,50.869998931884766,383,1633
7,1,1,3,1,142,2,10900,2,5,2,70,2,1,6386,9.130000114440918,75200,147.9499969482422,2111,2439
7,2,1,3,1,148,3,37964,2,3,2,50,2,1,3405,77.5,57400,122.86000061035156,979,1235
3,1,1,1,1,328,3,10900,2,5,2,115,2,1,6386,9.130000114440918,75200,147.9499969482422,2111,2439
7,2,1,1,1,103,3,37964,2,3,2,38,2,1,3405,77.5,57400,122.86000061035156,979,1235
9,1,1,3,1,135,3,10900,2,5,1,75,2,1,6721,7.389999866485596,75200,154.75,2329,2628
7,2,1,3,1,119,3,37964,2,3,2,39,2,1,2968,79.08000183105469,57400,61.65999984741211,439,630
7,2,1,3,1,80,3,37964,2,3,2,0,2,1,4298,95.20999908447266,57400,55.38999938964844,390,1076
7,1,1,3,1,158,3,37964,2,3,1,85,2,1,2968,79.08000183105469,57400,61.65999984741211,439,630
9,1,1,3,1,348,3,37964,2,3,1,96,2,1,1883,61.290000915527344,57400,115.83000183105469,281,445
7,2,1,3,1,117,3,37964,2,3,2,39,2,1,2538,100,57400,55.68000030517578,365,1125
3,1,1,1,1,105,3,42540,2,5,2,11,2,1,4236,3.049999952316284,59500,102.2699966430664,1575,1963
7,1,1,3,1,146,3,10900,2,5,1,31,2,1,4067,7.820000171661377,75200,117.2699966430664,1400,1688
9,1,1,1,1,154,3,37964,2,3,1,52,2,1,2538,100,57400,55.68000030517578,365,1125
7,3,1,3,1,240,3,37964,2,3,1,39,2,1,4260,98.94000244140625,57400,71.5,1017,1844
7,2,1,3,1,64,3,37964,2,3,2,34,2,1,2866,100,57400,35.16999816894531,508,1268
9,1,1,3,1,83,3,37964,2,3,2,44,2,1,4260,98.94000244140625,57400,71.5,1017,1844
7,1,1,3,1,44,3,37964,2,3,2,44,2,1,2866,100,57400,35.16999816894531,508,1268
5,1,1,3,1,105,3,10900,2,5,2,55,2,1,3635,9.989999771118164,75200,88.83000183105469,953,1324
